current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,execute_phase,internal_references_impacted
neck-strap-for-drones,neck-strap-for-drones,Support,KEEP,NO,/pages/neck-strap-for-drones,/pages/neck-strap-for-drones,Nackrem till drönare
propellers-for-drones,propellers-for-drones,Accessories,KEEP,NO,/pages/propellers-for-drones,/pages/propellers-for-drones,Propeller till drönare
bag-for-gopro,bag-for-gopro,Accessories,KEEP,NO,/pages/bag-for-gopro,/pages/bag-for-gopro,Väska till GoPro
memory-cards-for-gopro,memory-cards-for-gopro,Accessories,KEEP,NO,/pages/memory-cards-for-gopro,/pages/memory-cards-for-gopro,Minneskort till GoPro
batteries-and-chargers-for-gopro,batteries-and-chargers-for-gopro,Accessories,KEEP,NO,/pages/batteries-and-chargers-for-gopro,/pages/batteries-and-chargers-for-gopro,Batterier och laddare till GoPro
accessories-for-gopro,accessories-for-gopro,Accessories,KEEP,NO,/pages/accessories-for-gopro,/pages/accessories-for-gopro,Tillbehör till GoPro
faq-motorola-t92,faq-motorola-t92,Support,KEEP,NO,/pages/faq-motorola-t92,/pages/faq-motorola-t92,Motorola T92 Frågor och Svar FAQ
dji-mic-mini-faq,dji-mic-mini-faq,Support,KEEP,NO,/pages/dji-mic-mini-faq,/pages/dji-mic-mini-faq,DJI Mic Mini Frågor och svar FAQ
dji-flip-faq,dji-flip-faq,Drones,KEEP,NO,/pages/dji-flip-faq,/pages/dji-flip-faq,DJI Flip Frågor och svar FAQ
nitecore-innovation-prestanda,nitecore-innovation-prestanda,Brands,KEEP,NO,/pages/nitecore-innovation-prestanda,/pages/nitecore-innovation-prestanda,Nitecore
dji-air-series,dji-air-series,Drones,KEEP,NO,/pages/dji-air-series,/pages/dji-air-series,DJI Air-serien
samarbeta-with-actionking,(exclude),Support,EXCLUDE,LEGACY,/pages/samarbeta-with-actionking,(exclude),Samarbeta med ActionKing
goulet-ul-gear,goulet-ul-gear,Support,KEEP,NO,/pages/goulet-ul-gear,/pages/goulet-ul-gear,Goulet UL Gear
gunter-andreasson-ultracyklist,gunter-andreasson-ultracyklist,Support,KEEP,NO,/pages/gunter-andreasson-ultracyklist,/pages/gunter-andreasson-ultracyklist,"Günter Andréasson – Ultracyklist, äventyrare och inspiratör"
samarbeta-with-oss,partner-with-us,Support,RENAME,YES,/pages/samarbeta-with-oss,/pages/partner-with-us,Samarbeta med oss
we-buy-drones-actionking,(exclude),Support,EXCLUDE,LEGACY,/pages/we-buy-drones-actionking,(exclude),"Vi köper din drönare – Snabbt, enkelt och tryggt"
dji-neo-faq,dji-neo-faq,Drones,KEEP,NO,/pages/dji-neo-faq,/pages/dji-neo-faq,DJI Neo Frågor och svar FAQ
feedback,feedback,Support,KEEP,NO,/pages/feedback,/pages/feedback,Feedback
kablar,cables,Accessories,RENAME,YES,/pages/kablar,/pages/cables,Kablar
ljud,audio,Accessories,RENAME,YES,/pages/ljud,/pages/audio,Ljud
memory-card-storage,memory-card-storage,Accessories,KEEP,NO,/pages/memory-card-storage,/pages/memory-card-storage,Minneskort & Lagring
faq-motorola-t82-extreme,faq-motorola-t82-extreme,Support,KEEP,NO,/pages/faq-motorola-t82-extreme,/pages/faq-motorola-t82-extreme,Motorola T82 Extreme Frågor och Svar FAQ
dji-flip,dji-flip,Drones,KEEP,NO,/pages/dji-flip,/pages/dji-flip,DJI Flip
dji-mavic-3-classic,dji-mavic-3-classic,Support,KEEP,NO,/pages/dji-mavic-3-classic,/pages/dji-mavic-3-classic,DJI Mavic 3 Classic
cookies-actionking,(exclude),Support,EXCLUDE,LEGACY,/pages/cookies-actionking,(exclude),Cookies hos ActionKing
basta-myggskyddet,best-mosquito-repellent,Support,RENAME,YES,/pages/basta-myggskyddet,/pages/best-mosquito-repellent,Bästa myggskyddet
all-products-actionking,(exclude),Support,EXCLUDE,LEGACY,/pages/all-products-actionking,(exclude),Alla produkter
_test-deploy-delete-me,(exclude),Support,EXCLUDE,LEGACY,/pages/_test-deploy-delete-me,(exclude),TEST DELETE
service-support,service-support,Support,KEEP,NO,/pages/service-support,/pages/service-support,Service & Support
dji-service,dji-service,Support,KEEP,NO,/pages/dji-service,/pages/dji-service,DJI Service
dji-enterprise-service,dji-enterprise-service,Support,KEEP,NO,/pages/dji-enterprise-service,/pages/dji-enterprise-service,Enterprise Service
flycart-service,flycart-service,Support,KEEP,NO,/pages/flycart-service,/pages/flycart-service,FlyCart Service
matrice-service,matrice-service,Support,KEEP,NO,/pages/matrice-service,/pages/matrice-service,Matrice Service
troubleshooting,troubleshooting,Support,KEEP,NO,/pages/troubleshooting,/pages/troubleshooting,Felsökning
repair,repairs,Support,RENAME,YES,/pages/repair,/pages/repairs,Reparation
calibration,calibration,Support,KEEP,NO,/pages/calibration,/pages/calibration,Kalibrering
battery-test,battery-test,Accessories,KEEP,NO,/pages/battery-test,/pages/battery-test,Batteritest
firmware-update,firmware-update,Support,KEEP,NO,/pages/firmware-update,/pages/firmware-update,Firmwareuppdatering
warranty-management,warranty-management,Support,KEEP,NO,/pages/warranty-management,/pages/warranty-management,Garantihantering
rma,rma,Support,KEEP,NO,/pages/rma,/pages/rma,RMA
service-request,service-request,Support,KEEP,NO,/pages/service-request,/pages/service-request,Serviceanmälan
support,support,Support,KEEP,NO,/pages/support,/pages/support,Support
enterprise-account,business-account,Support,RENAME,YES,/pages/enterprise-account,/pages/business-account,Företagskonto
quote-request,request-a-quote,Support,RENAME,YES,/pages/quote-request,/pages/request-a-quote,Offertförfrågan
leasing,leasing,Support,KEEP,NO,/pages/leasing,/pages/leasing,Leasing
financing,financing,Support,KEEP,NO,/pages/financing,/pages/financing,Finansiering
service-agreement,service-agreement,Support,KEEP,NO,/pages/service-agreement,/pages/service-agreement,Serviceavtal
support-agreement,support-agreement,Support,KEEP,NO,/pages/support-agreement,/pages/support-agreement,Supportavtal
training,training,Support,KEEP,NO,/pages/training,/pages/training,Utbildning
partner-program,partner-program,Support,KEEP,NO,/pages/partner-program,/pages/partner-program,Partnerprogram
industry-energy-infrastructure,industry-energy-infrastructure,Enterprise,KEEP,NO,/pages/industry-energy-infrastructure,/pages/industry-energy-infrastructure,Energi & Infrastruktur
industry-wind-power,industry-wind-power,Enterprise,KEEP,NO,/pages/industry-wind-power,/pages/industry-wind-power,Vindkraft
industry-solar-parks,industry-solar-parks,Enterprise,KEEP,NO,/pages/industry-solar-parks,/pages/industry-solar-parks,Solparker
industry-power-grid,industry-power-grid,Enterprise,KEEP,NO,/pages/industry-power-grid,/pages/industry-power-grid,Kraftnät
industry-forestry,industry-forestry,Enterprise,KEEP,NO,/pages/industry-forestry,/pages/industry-forestry,Skogsbruk
industry-agriculture,industry-agriculture,Enterprise,KEEP,NO,/pages/industry-agriculture,/pages/industry-agriculture,Jordbruk
industry-mapping,industry-mapping,Enterprise,KEEP,NO,/pages/industry-mapping,/pages/industry-mapping,Kartläggning
industry-construction,industry-construction,Enterprise,KEEP,NO,/pages/industry-construction,/pages/industry-construction,Bygg & Anläggning
industry-security-rescue,industry-security-rescue,Enterprise,KEEP,NO,/pages/industry-security-rescue,/pages/industry-security-rescue,Säkerhet & Räddning
industry-transport-logistics,industry-transport-logistics,Enterprise,KEEP,NO,/pages/industry-transport-logistics,/pages/industry-transport-logistics,Transport & Logistik
