proposed_handle,taxonomy_pillar,products_count,merged_from_count,merged_from,proposed_url
ji-mini-5-pro-filter,Accessories,0,0,,/collections/ji-mini-5-pro-filter
memory-card-storage,Accessories,0,0,,/collections/memory-card-storage
gopro-hero13-bag,Brands,610,0,,/collections/gopro-hero13-bag
gopro-hero13-black-protection,Brands,476,0,,/collections/gopro-hero13-black-protection
polarpro,Brands,428,0,,/collections/polarpro
sunnylife,Brands,377,0,,/collections/sunnylife
gopro-accessories,Brands,228,0,,/collections/gopro-accessories
amagisn-camera-accessories-and-drone-equipment,Brands,149,0,,/collections/amagisn-camera-accessories-and-drone-equipment
brdrc-accessories,Brands,134,0,,/collections/brdrc-accessories
master-airscrew-dji-propellers,Brands,42,0,,/collections/master-airscrew-dji-propellers
pgytech-accessories,Brands,3,0,,/collections/pgytech-accessories
all-products,Drones,841,0,,/collections/all-products
drone-covers,Drones,158,0,,/collections/drone-covers
dji-air-3-sensors,Drones,147,0,,/collections/dji-air-3-sensors
dji-mini-4-pro-sensors,Drones,144,0,,/collections/dji-mini-4-pro-sensors
dji-air-3-spare-parts,Drones,127,0,,/collections/dji-air-3-spare-parts
dji-mini-4-pro-spare-parts,Drones,127,0,,/collections/dji-mini-4-pro-spare-parts
dji-drones,Drones,84,2,dji; dji-drones,/collections/dji-drones
drones-with-camera,Drones,47,0,,/collections/drones-with-camera
landing-gear-drones,Drones,42,0,,/collections/landing-gear-drones
dji-drone-spare-parts,Drones,16,0,,/collections/dji-drone-spare-parts
dji-mavic-3-classic,Drones,15,0,,/collections/dji-mavic-3-classic
dji-mavic-3-series,Drones,11,0,,/collections/dji-mavic-3-series
remote-control-drones,Drones,10,0,,/collections/remote-control-drones
dji-drones-remote-controls,Drones,7,0,,/collections/dji-drones-remote-controls
dji-rc-remote-controls,Drones,7,0,,/collections/dji-rc-remote-controls
dji-air-series,Drones,6,0,,/collections/dji-air-series
dji-mavic-series,Drones,6,0,,/collections/dji-mavic-series
dji-mavic-3-pro-advanced-drone-tech,Drones,5,0,,/collections/dji-mavic-3-pro-advanced-drone-tech
dji-mini-3,Drones,5,0,,/collections/dji-mini-3
dji-mini-3-series,Drones,5,0,,/collections/dji-mini-3-series
drone-spare-parts-other,Drones,5,0,,/collections/drone-spare-parts-other
dji-air-3-series,Drones,3,1,dij-air-3-series,/collections/dji-air-3-series
dji-air-3,Drones,3,0,,/collections/dji-air-3
dji-flip-drones,Drones,3,0,,/collections/dji-flip-drones
dji-mavic-4-pro,Drones,3,0,,/collections/dji-mavic-4-pro
dji-mavic-4-series,Drones,3,0,,/collections/dji-mavic-4-series
dji-neo,Drones,3,0,,/collections/dji-neo
dji-air-3s,Drones,2,0,,/collections/dji-air-3s
dji-avata-pro-fpv-drones,Drones,2,0,,/collections/dji-avata-pro-fpv-drones
dji-avata-series,Drones,2,0,,/collections/dji-avata-series
dji-mavic-2-series,Drones,2,0,,/collections/dji-mavic-2-series
dji-mini-4-series,Drones,2,0,,/collections/dji-mini-4-series
dji-mini-5-series,Drones,2,0,,/collections/dji-mini-5-series
dji-air-2-series,Drones,1,0,,/collections/dji-air-2-series
dji-air-2s,Drones,1,0,,/collections/dji-air-2s
dji-mavic-2-pro,Drones,1,0,,/collections/dji-mavic-2-pro
dji-mavic-3-cine-drones,Drones,1,0,,/collections/dji-mavic-3-cine-drones
dji-mini-4-pro,Drones,1,0,,/collections/dji-mini-4-pro
dji-mini-2-series,Drones,0,0,,/collections/dji-mini-2-series
dji-matrice-4-rtk,Enterprise,47,0,,/collections/dji-matrice-4-rtk
dji-phantom-3-se,Enterprise,43,0,,/collections/dji-phantom-3-se
dji-matrice-series,Enterprise,32,0,,/collections/dji-matrice-series
dji-matrice-350-rtk,Enterprise,28,1,dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk
dji-enterprise-remote-controls,Enterprise,22,0,,/collections/dji-enterprise-remote-controls
dji-matrice-3-series,Enterprise,22,0,,/collections/dji-matrice-3-series
dji-matrice-4-series,Enterprise,22,0,,/collections/dji-matrice-4-series
dji-matrice-4-spare-parts,Enterprise,21,0,,/collections/dji-matrice-4-spare-parts
enterprise-drones,Enterprise,19,0,,/collections/enterprise-drones
dji-mavic-series-enterprise,Enterprise,11,0,,/collections/dji-mavic-series-enterprise
dji-matrice-400-series,Enterprise,9,0,,/collections/dji-matrice-400-series
dji-matrice-350-rtk-spare-parts,Enterprise,5,0,,/collections/dji-matrice-350-rtk-spare-parts
dji-mavic-3-enterprise,Enterprise,5,0,,/collections/dji-mavic-3-enterprise
dji-mavic-3-enterprise-spare-parts,Enterprise,5,0,,/collections/dji-mavic-3-enterprise-spare-parts
dji-agras-drones,Enterprise,4,0,,/collections/dji-agras-drones
enterprise-service-drones,Enterprise,4,0,,/collections/enterprise-service-drones
dji-agras-t50,Enterprise,3,0,,/collections/dji-agras-t50
dji-agras-t40,Enterprise,2,0,,/collections/dji-agras-t40
dji-flycart-100-cargo-drones,Enterprise,2,0,,/collections/dji-flycart-100-cargo-drones
dji-flycart-30,Enterprise,2,0,,/collections/dji-flycart-30
dji-flycart-30-spare-parts,Enterprise,2,0,,/collections/dji-flycart-30-spare-parts
dji-flycart-series,Enterprise,2,0,,/collections/dji-flycart-series
dji-matrice-300-rtk,Enterprise,2,0,,/collections/dji-matrice-300-rtk
dji-matrice-3d,Enterprise,2,0,,/collections/dji-matrice-3d
energy-infrastructure,Enterprise,2,0,,/collections/energy-infrastructure
transport-logistics,Enterprise,2,0,,/collections/transport-logistics
dji-dock-2,Enterprise,1,0,,/collections/dji-dock-2
dji-dock-3,Enterprise,1,0,,/collections/dji-dock-3
dji-marvic-enterprise,Enterprise,1,0,,/collections/dji-marvic-enterprise
dji-matrice-3td,Enterprise,1,0,,/collections/dji-matrice-3td
dji-inspire,Enterprise,0,0,,/collections/dji-inspire
dji-inspire-series,Enterprise,0,0,,/collections/dji-inspire-series
dji-phantom-3-pro-v1,Enterprise,0,0,,/collections/dji-phantom-3-pro-v1
dji-phantom-4-pro-drones,Enterprise,0,0,,/collections/dji-phantom-4-pro-drones
dji-phantom-series,Enterprise,0,0,,/collections/dji-phantom-series
drones-with-thermal-camera,Payloads & Sensors,30,0,,/collections/drones-with-thermal-camera
enterprise-speaker-systems,Payloads & Sensors,23,0,,/collections/enterprise-speaker-systems
enterprise-sensors,Payloads & Sensors,20,0,,/collections/enterprise-sensors
dji-mavic-3-thermal,Payloads & Sensors,8,0,,/collections/dji-mavic-3-thermal
enterprise-lifting-systems,Payloads & Sensors,5,0,,/collections/enterprise-lifting-systems
dji-air-3-cameras,Spare Parts,1165,0,,/collections/dji-air-3-cameras
dji-mini-4-pro-cameras,Spare Parts,1165,0,,/collections/dji-mini-4-pro-cameras
dji-matrice-4-cameras,Spare Parts,1075,0,,/collections/dji-matrice-4-cameras
dji-mavic-3-enterprise-cameras,Spare Parts,1057,0,,/collections/dji-mavic-3-enterprise-cameras
dji-mini-4-pro-cables,Spare Parts,715,0,,/collections/dji-mini-4-pro-cables
dji-air-3-cables,Spare Parts,713,0,,/collections/dji-air-3-cables
dji-matrice-4-cables,Spare Parts,618,0,,/collections/dji-matrice-4-cables
dji-air-3-batteries,Spare Parts,482,0,,/collections/dji-air-3-batteries
dji-mini-4-pro-batteries,Spare Parts,480,0,,/collections/dji-mini-4-pro-batteries
dji-matrice-4-batteries,Spare Parts,387,0,,/collections/dji-matrice-4-batteries
dji-matrice-350-rtk-batteries,Spare Parts,374,0,,/collections/dji-matrice-350-rtk-batteries
dji-mavic-3-enterprise-batteries,Spare Parts,372,0,,/collections/dji-mavic-3-enterprise-batteries
dji-flycart-30-batteries,Spare Parts,370,0,,/collections/dji-flycart-30-batteries
drones-propellers-accessories,Spare Parts,366,0,,/collections/drones-propellers-accessories
dji-air-3-shell,Spare Parts,345,0,,/collections/dji-air-3-shell
dji-mini-4-pro-shell,Spare Parts,342,0,,/collections/dji-mini-4-pro-shell
dji-air-3-propellers,Spare Parts,327,0,,/collections/dji-air-3-propellers
dji-air-3-gimbal,Spare Parts,323,0,,/collections/dji-air-3-gimbal
dji-mini-4-pro-gimbal,Spare Parts,323,0,,/collections/dji-mini-4-pro-gimbal
dji-mini-4-pro-propellers,Spare Parts,320,0,,/collections/dji-mini-4-pro-propellers
dji-air-3-arms,Spare Parts,267,0,,/collections/dji-air-3-arms
dji-mini-4-pro-arms,Spare Parts,264,0,,/collections/dji-mini-4-pro-arms
dji-air-3-motors,Spare Parts,245,0,,/collections/dji-air-3-motors
dji-matrice-4-propellers,Spare Parts,242,0,,/collections/dji-matrice-4-propellers
dji-mini-4-pro-motors,Spare Parts,241,0,,/collections/dji-mini-4-pro-motors
dji-matrice-4-gimbal,Spare Parts,233,0,,/collections/dji-matrice-4-gimbal
dji-mavic-3-enterprise-shell,Spare Parts,230,0,,/collections/dji-mavic-3-enterprise-shell
dji-mavic-3-enterprise-gimbal,Spare Parts,218,0,,/collections/dji-mavic-3-enterprise-gimbal
spare-parts-gimbal-drones-motors,Spare Parts,171,0,,/collections/spare-parts-gimbal-drones-motors
dji-air-3-landing-gear,Spare Parts,160,0,,/collections/dji-air-3-landing-gear
dji-mini-4-pro-landing-gear,Spare Parts,159,0,,/collections/dji-mini-4-pro-landing-gear
dji-air-3-antennas,Spare Parts,131,0,,/collections/dji-air-3-antennas
